c,h,l,n,o,t,v,vw
59908.995,59908.995,59908.995,0,59908.995,2024-05-01T02:50:00Z,0.0,0.0
59941.305,59941.305,59941.305,0,59941.305,2024-05-01T02:51:00Z,0.0,0.0
59915.7265,59915.7265,59915.7265,0,59915.7265,2024-05-01T02:52:00Z,0.0,0.0
59847.565,59878.0725,59847.565,0,59878.0725,2024-05-01T02:53:00Z,0.0,0.0
59893.3725,59893.3725,59893.3725,0,59893.3725,2024-05-01T02:55:00Z,0.0,0.0
59955.6595,59955.6595,59928.356,0,59928.356,2024-05-01T02:56:00Z,0.0,0.0
59980.3355,59980.3355,59980.3355,0,59980.3355,2024-05-01T02:57:00Z,0.0,0.0
59918.055,59963.507,59918.055,0,59963.507,2024-05-01T02:58:00Z,0.0,0.0
59948.1,59948.1,59948.1,0,59948.1,2024-05-01T03:01:00Z,0.0,0.0
60054.8475,60054.8475,59983.188,0,59983.188,2024-05-01T03:02:00Z,0.0,0.0
60007.515,60038.3645,60007.515,0,60038.3645,2024-05-01T03:03:00Z,0.0,0.0
59963.0955,59963.0955,59963.0955,0,59963.0955,2024-05-01T03:04:00Z,0.0,0.0
60009.4445,60009.4445,60009.4445,0,60009.4445,2024-05-01T03:05:00Z,0.0,0.0
60043.2955,60043.2955,60043.2955,0,60043.2955,2024-05-01T03:06:00Z,0.0,0.0
60009.5815,60009.5815,60009.5815,0,60009.5815,2024-05-01T03:07:00Z,0.0,0.0
60035.39,60035.39,60035.39,0,60035.39,2024-05-01T03:08:00Z,0.0,0.0
60041.8705,60041.8705,60041.8705,0,60041.8705,2024-05-01T03:09:00Z,0.0,0.0
60075.65,60075.65,60075.65,0,60075.65,2024-05-01T03:11:00Z,0.0,0.0
60073.579,60096.0,60073.579,0,60096.0,2024-05-01T03:12:00Z,0.0,0.0
60039.25,60039.25,60039.25,0,60039.25,2024-05-01T03:15:00Z,0.0,0.0
60046.65,60101.655,60046.65,0,60053.572,2024-05-01T03:18:00Z,0.0,0.0
60100.728,60100.728,60100.728,0,60100.728,2024-05-01T03:21:00Z,0.0,0.0
60068.485,60068.485,60068.485,0,60068.485,2024-05-01T03:28:00Z,0.0,0.0
60025.619,60046.595,60025.619,0,60046.595,2024-05-01T03:29:00Z,0.0,0.0
60050.05,60050.05,60050.05,0,60050.05,2024-05-01T03:30:00Z,0.0,0.0
60089.0,60089.0,60063.3805,0,60063.3805,2024-05-01T03:33:00Z,0.0,0.0
60093.8,60093.8,60093.8,0,60093.8,2024-05-01T03:37:00Z,0.0,0.0
60152.695,60152.695,60152.695,0,60152.695,2024-05-01T03:38:00Z,0.0,0.0
60173.795,60173.795,60173.795,0,60173.795,2024-05-01T03:39:00Z,0.0,0.0
60204.895,60204.895,60204.895,0,60204.895,2024-05-01T03:41:00Z,0.0,0.0
60228.49,60228.49,60228.49,0,60228.49,2024-05-01T03:42:00Z,0.0,0.0
60193.03,60193.03,60193.03,0,60193.03,2024-05-01T03:43:00Z,0.0,0.0
60144.171,60172.89,60144.171,0,60172.89,2024-05-01T03:45:00Z,0.0,0.0
