,open_time,open,close,high,low,close.1,vol,close_time,quote_volume,trade_count,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,rsi_val
41,1503009660000,4348.62,4348.62,4348.62,4348.62,0.32349,1503009719999,1406.7350838,1,0.32349,1406.7350838,0,good
42,1503009720000,4348.62,4348.62,4348.62,4348.62,0.535735,1503009779999,2329.7079357,8,0.31522,1370.7719964,0,good
43,1503009780000,4351.62,4356.06,4351.62,4356.06,0.242904,1503009839999,1057.3467522,5,0.212264,924.0131154,0,high
44,1503009840000,4356.06,4356.06,4352.34,4352.34,1.022335,1503009899999,4452.98110974,7,0.962627,4192.88947926,0,high
45,1503009900000,4335.0,4352.34,4335.0,4352.34,4.037309,1503009959999,17506.81456278,4,4.037309,17506.81456278,0,good
46,1503009960000,4352.34,4352.34,4352.34,4352.34,0.0,1503010019999,0.0,0,0.0,0.0,0,good
47,1503010020000,4352.34,4352.34,4352.34,4352.34,0.391395,1503010079999,1703.4841143,5,0.391395,1703.4841143,0,good
48,1503010080000,4352.34,4352.34,4352.34,4352.34,0.0,1503010139999,0.0,0,0.0,0.0,0,good
49,1503010140000,4352.34,4352.34,4341.3,4341.3,0.819121,1503010199999,3560.6393805,6,0.579484,2517.65767992,0,good
50,1503010200000,4341.3,4341.3,4341.3,4341.3,0.0,1503010259999,0.0,0,0.0,0.0,0,neutral
51,1503010260000,4341.3,4359.13,4341.3,4359.13,2.079271,1503010319999,9037.22763631,7,1.355194,5893.79215621,0,good
52,1503010320000,4359.13,4359.13,4359.13,4359.13,0.843838,1503010379999,3678.39954094,4,0.843838,3678.39954094,0,good
53,1503010380000,4359.13,4359.13,4352.34,4352.34,0.219906,1503010439999,957.88838371,9,0.219906,957.88838371,0,good
54,1503010440000,4352.34,4352.34,4352.34,4352.34,0.013,1503010499999,56.58042,1,0.013,56.58042,0,neutral
55,1503010500000,4352.34,4352.34,4352.34,4352.34,0.074517,1503010559999,324.32331978,2,0.074517,324.32331978,0,neutral
56,1503010560000,4327.52,4337.29,4327.52,4337.29,5.245167,1503010619999,22713.76922846,7,5.245167,22713.76922846,0,neutral
57,1503010620000,4337.29,4337.29,4337.29,4337.29,1.958514,1503010679999,8494.64318706,2,1.958514,8494.64318706,0,neutral
58,1503010680000,4336.8,4336.8,4336.8,4336.8,0.389359,1503010739999,1688.5721112,1,0.389359,1688.5721112,0,neutral
59,1503010740000,4336.8,4336.8,4336.8,4336.8,0.150896,1503010799999,654.4057728,1,0.150896,654.4057728,0,neutral
60,1503010800000,4313.39,4336.8,4313.39,4336.8,4.958226,1503010859999,21415.68585229,5,4.792457,20696.77885309,0,neutral
61,1503010860000,4336.8,4336.8,4336.8,4336.8,0.0,1503010919999,0.0,0,0.0,0.0,0,neutral
62,1503010920000,4336.8,4336.8,4336.8,4336.8,0.58138,1503010979999,2521.328784,4,0.58138,2521.328784,0,neutral
