open_time,open,close,high,low,close,vol,close_time,quote_volume,trade_count,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1745311140000,88457.39000000,88457.39000000,88428.36000000,88433.97000000,4.88610000,1745311199999,432139.46841690,685,3.24138000,286671.37666340,0
1745311200000,88433.98000000,88470.00000000,88433.97000000,88469.99000000,3.40764000,1745311259999,301400.70965550,558,2.92002000,258265.87035760,0
1745311260000,88469.99000000,88470.00000000,88450.00000000,88450.00000000,3.16387000,1745311319999,279884.59843500,556,1.03849000,91864.84825350,0
1745311320000,88450.00000000,88450.01000000,88434.72000000,88434.72000000,6.85018000,1745311379999,605822.74330980,506,1.60302000,141774.69459160,0
1745311380000,88434.72000000,88434.73000000,88391.31000000,88391.31000000,3.40867000,1745311439999,301375.97391990,941,2.15883000,190874.88017790,0
1745311440000,88391.32000000,88400.00000000,88373.24000000,88373.24000000,8.84618000,1745311499999,781965.17034130,815,4.28188000,378502.60605290,0
1745311500000,88373.24000000,88395.39000000,88320.00000000,88333.12000000,24.72387000,1745311559999,2184382.48243520,2033,6.98856000,617523.85014250,0
1745311560000,88333.12000000,88374.64000000,88333.11000000,88374.63000000,4.52426000,1745311619999,399732.76115660,750,3.41611000,301815.60700470,0
1745311620000,88374.64000000,88374.64000000,88374.63000000,88374.64000000,6.65177000,1745311679999,587847.73251670,290,1.99216000,176056.42282240,0
1745311680000,88374.63000000,88406.41000000,88374.63000000,88406.40000000,6.21803000,1745311739999,549608.38184470,624,4.96953000,439234.48679550,0
1745311740000,88406.40000000,88406.41000000,88383.16000000,88396.90000000,7.39935000,1745311799999,654078.81237950,686,2.04305000,180578.24158750,0
1745311800000,88396.91000000,88409.99000000,88396.90000000,88396.91000000,2.57832000,1745311859999,227930.68696690,634,1.65229000,146066.34127540,0
1745311860000,88396.90000000,88400.00000000,88396.90000000,88400.00000000,2.75653000,1745311919999,243674.02457720,220,1.32532000,117155.79096590,0
1745311920000,88399.99000000,88414.50000000,88396.90000000,88414.50000000,4.70824000,1745311979999,416221.71219170,619,3.02086000,267055.67152710,0
1745311980000,88414.50000000,88414.50000000,88400.00000000,88400.00000000,7.07864000,1745312039999,625840.32501730,671,1.11119000,98243.62770480,0
1745312040000,88400.01000000,88410.12000000,88396.91000000,88410.11000000,4.96400000,1745312099999,438823.88626940,431,4.10300000,362708.73968700,0
1745312100000,88410.12000000,88431.12000000,88410.11000000,88431.11000000,5.85892000,1745312159999,518047.59185670,593,4.38447000,387660.77983570,0
1745312160000,88431.11000000,88431.12000000,88414.20000000,88419.14000000,8.92111000,1745312219999,788815.42531940,693,2.66970000,236044.93410660,0
1745312220000,88419.15000000,88425.12000000,88400.00000000,88400.00000000,5.38961000,1745312279999,476511.95573980,715,1.60154000,141596.95085410,0
1745312280000,88400.00000000,88400.01000000,88374.63000000,88392.67000000,10.28859000,1745312339999,909366.86579370,815,3.88037000,342950.18770420,0
1745312340000,88392.66000000,88414.34000000,88392.66000000,88414.33000000,3.99996000,1745312399999,353583.45795690,545,3.09501000,273585.32314530,0
1745312400000,88414.33000000,88430.77000000,88410.90000000,88410.90000000,6.49934000,1745312459999,574710.78850460,592,2.89376000,255875.80623390,0
1745312460000,88410.91000000,88497.01000000,88410.91000000,88490.21000000,21.63430000,1745312519999,1914093.61537420,1236,11.35661000,1004598.02875590,0
1745312520000,88490.21000000,88499.99000000,88478.28000000,88484.01000000,19.21027000,1745312579999,1700007.73601320,982,6.22829000,551119.21640000,0
1745312580000,88484.01000000,88497.78000000,88481.78000000,88481.78000000,14.40833000,1745312639999,1275073.66393500,749,3.90164000,345267.25202820,0
1745312640000,88481.79000000,88481.79000000,88466.44000000,88466.45000000,5.69653000,1745312699999,503973.27134080,524,2.27196000,201006.78883490,0
